#      x          Cp  
     1.00000    0.51809
     0.99494   -0.07348
     0.98781    0.12295
     0.97810    0.09537
     0.96569    0.07596
     0.95180    0.05711
     0.93741    0.04099
     0.92290    0.02698
     0.90835    0.01458
     0.89380    0.00341
     0.87924   -0.00680
     0.86467   -0.01626
     0.85010   -0.02510
     0.83553   -0.03345
     0.82096   -0.04139
     0.80638   -0.04898
     0.79181   -0.05630
     0.77723   -0.06338
     0.76265   -0.07026
     0.74807   -0.07699
     0.73349   -0.08358
     0.71891   -0.09006
     0.70432   -0.09646
     0.68974   -0.10280
     0.67516   -0.10908
     0.66058   -0.11533
     0.64600   -0.12156
     0.63142   -0.12779
     0.61684   -0.13401
     0.60227   -0.14025
     0.58769   -0.14651
     0.57312   -0.15280
     0.55855   -0.15912
     0.54398   -0.16549
     0.52942   -0.17191
     0.51486   -0.17838
     0.50030   -0.18491
     0.48575   -0.19150
     0.47121   -0.19815
     0.45666   -0.20488
     0.44213   -0.21169
     0.42760   -0.21856
     0.41307   -0.22552
     0.39856   -0.23256
     0.38405   -0.23968
     0.36955   -0.24689
     0.35506   -0.25419
     0.34058   -0.26158
     0.32611   -0.26906
     0.31166   -0.27664
     0.29722   -0.28431
     0.28280   -0.29209
     0.26839   -0.29998
     0.25401   -0.30799
     0.23964   -0.31612
     0.22531   -0.32438
     0.21100   -0.33279
     0.19673   -0.34136
     0.18250   -0.35012
     0.16831   -0.35909
     0.15419   -0.36831
     0.14013   -0.37782
     0.12616   -0.38768
     0.11230   -0.39797
     0.09858   -0.40876
     0.08506   -0.42014
     0.07181   -0.43217
     0.05901   -0.44477
     0.04695   -0.45745
     0.03612   -0.46880
     0.02707   -0.47608
     0.01999   -0.47574
     0.01464   -0.46399
     0.01059   -0.43630
     0.00748   -0.38565
     0.00506   -0.30121
     0.00318   -0.16645
     0.00176    0.03791
     0.00076    0.31980
     0.00018    0.63811
     0.00000    0.88680
     0.00018    0.99680
     0.00076    0.95501
     0.00176    0.81478
     0.00318    0.64794
     0.00506    0.49219
     0.00748    0.35847
     0.01059    0.24638
     0.01464    0.15274
     0.01999    0.07453
     0.02707    0.01018
     0.03612   -0.04070
     0.04695   -0.07880
     0.05901   -0.10630
     0.07181   -0.12598
     0.08506   -0.14016
     0.09858   -0.15045
     0.11230   -0.15792
     0.12616   -0.16327
     0.14013   -0.16701
     0.15419   -0.16947
     0.16831   -0.17090
     0.18250   -0.17149
     0.19673   -0.17140
     0.21100   -0.17072
     0.22531   -0.16955
     0.23964   -0.16796
     0.25401   -0.16602
     0.26839   -0.16377
     0.28280   -0.16126
     0.29722   -0.15853
     0.31166   -0.15560
     0.32611   -0.15250
     0.34058   -0.14925
     0.35506   -0.14588
     0.36955   -0.14241
     0.38405   -0.13884
     0.39856   -0.13519
     0.41307   -0.13148
     0.42760   -0.12770
     0.44213   -0.12388
     0.45666   -0.12002
     0.47121   -0.11612
     0.48575   -0.11219
     0.50030   -0.10824
     0.51486   -0.10426
     0.52942   -0.10026
     0.54398   -0.09625
     0.55855   -0.09221
     0.57312   -0.08815
     0.58769   -0.08407
     0.60227   -0.07996
     0.61684   -0.07583
     0.63142   -0.07166
     0.64600   -0.06746
     0.66058   -0.06321
     0.67516   -0.05890
     0.68974   -0.05453
     0.70432   -0.05008
     0.71891   -0.04555
     0.73349   -0.04091
     0.74807   -0.03614
     0.76265   -0.03123
     0.77723   -0.02616
     0.79181   -0.02088
     0.80638   -0.01537
     0.82096   -0.00958
     0.83553   -0.00346
     0.85010    0.00305
     0.86467    0.01004
     0.87924    0.01760
     0.89380    0.02587
     0.90835    0.03503
     0.92290    0.04534
     0.93741    0.05716
     0.95180    0.07094
     0.96569    0.08730
     0.97810    0.10418
     0.98781    0.12930
     0.99494   -0.06864
     1.00000    0.51809
