#  NACA 1410                                       
#  alpha =   1.0000
#  Mach  =   0.0000
#  Reyn  = 10000000
#  Ncrit =   9.0000
#
#    x           cf
   0.341725E-04  0.105762E-02
   0.306335E-04  0.264834E-02
   0.298416E-03  0.391685E-02
   0.860862E-03  0.473467E-02
   0.172741E-02  0.497479E-02
   0.290180E-02  0.487882E-02
   0.439128E-02  0.454283E-02
   0.621384E-02  0.413536E-02
   0.840359E-02  0.370480E-02
   0.110152E-01  0.329573E-02
   0.141292E-01  0.291924E-02
   0.178586E-01  0.258051E-02
   0.223552E-01  0.227843E-02
   0.278116E-01  0.200963E-02
   0.344452E-01  0.177298E-02
   0.424470E-01  0.156643E-02
   0.518967E-01  0.138927E-02
   0.626979E-01  0.124008E-02
   0.746059E-01  0.111596E-02
   0.873342E-01  0.101281E-02
   0.100642      0.926371E-03
   0.114357      0.852911E-03
   0.128369      0.789483E-03
   0.142603      0.733871E-03
   0.157011      0.684425E-03
   0.171560      0.639921E-03
   0.186223      0.599443E-03
   0.200984      0.562295E-03
   0.215827      0.527949E-03
   0.230740      0.496011E-03
   0.245716      0.466224E-03
   0.260744      0.438489E-03
   0.275821      0.413051E-03
   0.290939      0.391249E-03
   0.306094      0.379462E-03
   0.321283      0.814288E-03
   0.336501      0.330257E-02
   0.351747      0.461020E-02
   0.367019      0.477502E-02
   0.382318      0.459792E-02
   0.397650      0.439354E-02
   0.413039      0.421870E-02
   0.428465      0.408504E-02
   0.443914      0.397318E-02
   0.459379      0.387613E-02
   0.474857      0.378922E-02
   0.490346      0.370967E-02
   0.505845      0.363572E-02
   0.521353      0.356620E-02
   0.536868      0.350032E-02
   0.552391      0.343747E-02
   0.567919      0.337721E-02
   0.583453      0.331917E-02
   0.598991      0.326304E-02
   0.614532      0.320855E-02
   0.630076      0.315544E-02
   0.645622      0.310351E-02
   0.661170      0.305253E-02
   0.676719      0.300229E-02
   0.692268      0.295259E-02
   0.707816      0.290322E-02
   0.723363      0.285396E-02
   0.738908      0.280457E-02
   0.754450      0.275482E-02
   0.769990      0.270442E-02
   0.785526      0.265306E-02
   0.801058      0.260039E-02
   0.816584      0.254598E-02
   0.832105      0.248933E-02
   0.847619      0.242981E-02
   0.863125      0.236663E-02
   0.878619      0.229875E-02
   0.894091      0.222480E-02
   0.909519      0.214291E-02
   0.924841      0.205054E-02
   0.939901      0.194446E-02
   0.954338      0.182141E-02
   0.967503      0.167927E-02
   0.978675      0.152433E-02
   0.987601      0.134591E-02
   0.994720      0.128185E-02
    1.00000      0.478072E-03
    1.00010       0.00000    
    1.00566       0.00000    
    1.01216       0.00000    
    1.01976       0.00000    
    1.02866       0.00000    
    1.03906       0.00000    
    1.05124       0.00000    
    1.06549       0.00000    
    1.08216       0.00000    
    1.10166       0.00000    
    1.12447       0.00000    
    1.15116       0.00000    
    1.18239       0.00000    
    1.21892       0.00000    
    1.26166       0.00000    
    1.31166       0.00000    
    1.37015       0.00000    
    1.43859       0.00000    
    1.51865       0.00000    
    1.61232       0.00000    
    1.72189       0.00000    
    1.85009       0.00000    
    2.00006       0.00000    

   0.314449E-03  0.620236E-03
   0.902624E-03  0.207884E-02
   0.181166E-02  0.308130E-02
   0.304298E-02  0.354619E-02
   0.459830E-02  0.366911E-02
   0.648919E-02  0.354279E-02
   0.874360E-02  0.331795E-02
   0.114103E-01  0.303620E-02
   0.145639E-01  0.274655E-02
   0.183111E-01  0.246273E-02
   0.227983E-01  0.219380E-02
   0.282154E-01  0.194397E-02
   0.347882E-01  0.171478E-02
   0.427353E-01  0.150815E-02
   0.521827E-01  0.132589E-02
   0.630784E-01  0.116947E-02
   0.751904E-01  0.103824E-02
   0.882107E-01  0.929469E-03
   0.101865      0.839303E-03
   0.115957      0.763949E-03
   0.130357      0.700226E-03
   0.144983      0.645665E-03
   0.159783      0.598402E-03
   0.174718      0.557039E-03
   0.189765      0.520520E-03
   0.204904      0.488046E-03
   0.220120      0.459001E-03
   0.235404      0.432909E-03
   0.250745      0.409401E-03
   0.266137      0.388196E-03
   0.281574      0.369091E-03
   0.297051      0.351958E-03
   0.312563      0.336773E-03
   0.328108      0.323701E-03
   0.343682      0.313297E-03
   0.359281      0.308118E-03
   0.374901      0.317826E-03
   0.390533      0.147441E-02
   0.406157      0.314621E-02
   0.421764      0.377501E-02
   0.437377      0.377926E-02
   0.453000      0.364940E-02
   0.468636      0.352035E-02
   0.484285      0.341243E-02
   0.499946      0.332365E-02
   0.515617      0.324906E-02
   0.531299      0.318456E-02
   0.546991      0.312729E-02
   0.562691      0.307534E-02
   0.578398      0.302744E-02
   0.594113      0.298274E-02
   0.609835      0.294065E-02
   0.625562      0.290074E-02
   0.641294      0.286266E-02
   0.657031      0.282616E-02
   0.672771      0.279101E-02
   0.688515      0.275702E-02
   0.704261      0.272399E-02
   0.720009      0.269176E-02
   0.735759      0.266015E-02
   0.751510      0.262898E-02
   0.767260      0.259808E-02
   0.783011      0.256723E-02
   0.798760      0.253623E-02
   0.814508      0.250481E-02
   0.830254      0.247270E-02
   0.845996      0.243953E-02
   0.861734      0.240487E-02
   0.877463      0.236819E-02
   0.893173      0.232877E-02
   0.908841      0.228570E-02
   0.924400      0.223776E-02
   0.939679      0.218349E-02
   0.954289      0.212179E-02
   0.967537      0.205145E-02
   0.978699      0.198043E-02
   0.987587      0.187912E-02
   0.994678      0.206415E-02
    1.00000      0.674765E-03
    1.00010       0.00000    
    1.00566       0.00000    
    1.01216       0.00000    
    1.01976       0.00000    
    1.02866       0.00000    
    1.03906       0.00000    
    1.05124       0.00000    
    1.06549       0.00000    
    1.08216       0.00000    
    1.10166       0.00000    
    1.12447       0.00000    
    1.15116       0.00000    
    1.18239       0.00000    
    1.21892       0.00000    
    1.26166       0.00000    
    1.31166       0.00000    
    1.37015       0.00000    
    1.43859       0.00000    
    1.51865       0.00000    
    1.61232       0.00000    
    1.72189       0.00000    
    1.85009       0.00000    
    2.00006       0.00000    

